name,x,y,z
Drone1,47.641467999525176,-122.14016499999018,0.0
Drone1,47.641467999525176,-122.14016499999018,0.0
Drone1,47.64146799952566,-122.14016499999018,0.1
Drone1,47.64146799952753,-122.14016499999023,0.5
Drone1,47.64146799953165,-122.14016499999036,1.2
Drone1,47.64146799953639,-122.14016499999049,2.0
Drone1,47.64146799954293,-122.14016499999063,3.0
Drone1,47.64146799955056,-122.14016499999082,4.1
Drone1,47.64146799955912,-122.140164999991,5.2
Drone1,47.641467999568626,-122.1401649999912,6.2
Drone1,47.641467999578886,-122.1401649999914,7.3
Drone1,47.64146799958983,-122.14016499999161,8.4
Drone1,47.64146799960143,-122.14016499999184,9.4
Drone1,47.64146799961498,-122.14016499999214,10.6
Drone1,47.64146799962797,-122.14016499999242,11.7
Drone1,47.64146799964139,-122.14016499999272,12.7
Drone1,47.641467999654736,-122.14016499999303,13.8
Drone1,47.64146799966762,-122.14016499999333,14.8
Drone1,47.64146799967872,-122.14016499999359,15.8
Drone1,47.64146799969044,-122.14016499999384,16.8
Drone1,47.64146799970158,-122.14016499999407,17.9
Drone1,47.6414679997122,-122.14016499999428,18.9
Drone1,47.64146799972335,-122.14016499999451,20.1
Drone1,47.641467999733145,-122.14016499999468,21.1
Drone1,47.641467999742645,-122.14016499999487,22.2
Drone1,47.641467999751974,-122.14016499999501,23.2
Drone1,47.64146799976118,-122.14016499999514,24.3
Drone1,47.64146799977124,-122.14016499999529,25.4
Drone1,47.64146799978037,-122.14016499999545,26.5
Drone1,47.64146799978949,-122.14016499999558,27.5
Drone1,47.64146799979867,-122.14016499999573,28.6
Drone1,47.64146799980785,-122.14016499999586,29.6
Drone1,47.64146799981795,-122.140164999996,30.8
Drone1,47.64146799982625,-122.14016499999616,31.7
Drone1,47.641467999836415,-122.14016499999636,32.9
Drone1,47.6414679998457,-122.14016499999659,33.9
Drone1,47.64146799985413,-122.14016499999684,34.8
Drone1,47.6414679998645,-122.14016499999715,36.0
Drone1,47.64146799987396,-122.14016499999744,37.0
Drone1,47.641467999883474,-122.14016499999771,38.1
Drone1,47.641467999893045,-122.14016499999794,39.1
Drone1,47.6414679999027,-122.14016499999816,40.2
Drone1,47.64146799991244,-122.14016499999838,41.2
Drone1,47.64146799992327,-122.14016499999863,42.4
Drone1,47.641467999933184,-122.14016499999883,43.4
Drone1,47.64146799994319,-122.14016499999903,44.5
Drone1,47.641467999953235,-122.14016499999924,45.5
Drone1,47.64146799996433,-122.14016499999944,46.7
Drone1,47.64146799996433,-122.14016499999944,46.7
Drone1,47.64146799997542,-122.14016499999967,47.8
Drone1,47.64146794540455,-122.14016485205862,48.7
Drone1,47.64146750176661,-122.14016374842393,49.5
Drone1,47.64146663120815,-122.14016166155824,50.0
Drone1,47.64146514633336,-122.14015795780332,50.1
Drone1,47.64146359536919,-122.14015388138097,50.0
Drone1,47.641461569521915,-122.14014833825739,49.8
Drone1,47.641459244920306,-122.14014180575056,49.4
Drone1,47.64145702368681,-122.14013551462195,48.9
Drone1,47.641454459885594,-122.14012823884987,48.2
Drone1,47.64145151882325,-122.14011989997846,47.4
Drone1,47.64144870663562,-122.14011194338946,46.6
Drone1,47.641445766974634,-122.14010364144298,45.9
Drone1,47.64144239280216,-122.14009412716553,45.2
Drone1,47.64143920454987,-122.14008515080347,44.6
Drone1,47.641435909447026,-122.14007588897852,44.0
Drone1,47.641432517192285,-122.1400663715728,43.4
Drone1,47.64142903881813,-122.14005663063865,42.9
Drone1,47.641425127044386,-122.14004569565282,42.3
Drone1,47.641421505465175,-122.14003558802425,41.8
Drone1,47.64141746285013,-122.14002432068713,41.3
Drone1,47.6414137445417,-122.14001396936987,40.8
Drone1,47.641410370019365,-122.14000458331527,40.3
Drone1,47.64140659593419,-122.13999409338186,39.9
Drone1,47.641402801883785,-122.13998355385016,39.4
Drone1,47.641398992885875,-122.13997297684055,38.9
Drone1,47.641395173053255,-122.13996237204931,38.4
Drone1,47.64139172864478,-122.13995281030671,38.0
Drone1,47.641387896590786,-122.13994217235256,37.5
Drone1,47.6413840612844,-122.13993152423248,37.0
Drone1,47.64138022426097,-122.1399208694874,36.5
Drone1,47.64137638641253,-122.13991021070633,36.0
Drone1,47.64137216498326,-122.13989848358241,35.5
Drone1,47.641368328006365,-122.13988782096835,35.0
Drone1,47.64136449193708,-122.13987715835422,34.5
Drone1,47.64136027346155,-122.13986543112847,34.0
Drone1,47.641356439567566,-122.1398547704179,33.5
Drone1,47.641352989998275,-122.13984517726318,33.1
Drone1,47.641348774759756,-122.13983345331154,32.5
Drone1,47.64134494364007,-122.1398227962051,32.0
Drone1,47.64134111314495,-122.13981214069767,31.5
Drone1,47.64133728311142,-122.13980148612934,31.0
Drone1,47.641333453650994,-122.13979083239856,30.6
Drone1,47.64132962424903,-122.1397801799115,30.1
Drone1,47.64132617827225,-122.13977059315278,29.6
Drone1,47.64132234914177,-122.13975994173163,29.1
Drone1,47.641318520567225,-122.13974929155418,28.7
Drone1,47.6413146922999,-122.13973864140202,28.2
Drone1,47.641310864030984,-122.13972799122439,27.7
Drone1,47.641306652161404,-122.13971627602895,27.1
Drone1,47.641302822688345,-122.13970562585119,26.6
Drone1,47.64129861026618,-122.13969391334616,26.1
Drone1,47.641294780789835,-122.13968326672187,25.6
Drone1,47.64129095131191,-122.13967262009751,25.1
Drone1,47.6412871218324,-122.13966197347308,24.6
Drone1,47.64128329235131,-122.13965132684856,24.2
Drone1,47.641279080932414,-122.1396396155615,23.6
Drone1,47.641275635477264,-122.1396300335993,23.2
Drone1,47.64127142436369,-122.13961832231207,22.6
Drone1,47.641267596076965,-122.13960767568724,22.2
Drone1,47.64126376778865,-122.13959702906237,21.7
Drone1,47.64125993949875,-122.1395863824374,21.2
Drone1,47.64125649403651,-122.13957680047487,20.7
Drone1,47.64125266574363,-122.13956615384977,20.2
Drone1,47.64124845461962,-122.13955444256204,19.7
Drone1,47.64124462632343,-122.1395437959368,19.2
Drone1,47.64124041519578,-122.1395320846489,18.7
Drone1,47.64123696972629,-122.13952250268603,18.2
Drone1,47.64123275859517,-122.13951079139801,17.7
Drone1,47.6412289302925,-122.13950014477246,17.2
Drone1,47.641225101988255,-122.13948949814682,16.7
Drone1,47.64122165651309,-122.13947991618367,16.3
Drone1,47.64121744537502,-122.13946820489532,15.7
Drone1,47.641213617066036,-122.13945755826946,15.3
Drone1,47.64120978875548,-122.13944691164352,14.8
Drone1,47.64120596044334,-122.13943626501752,14.3
Drone1,47.64120213212962,-122.13942561839146,13.8
Drone1,47.64119792098271,-122.13941390710268,13.3
Drone1,47.64119447549746,-122.13940432513907,12.8
Drone1,47.64119026434707,-122.13939261385016,12.3
Drone1,47.64118643602688,-122.13938196722378,11.8
Drone1,47.64118260770512,-122.13937132059733,11.3
Drone1,47.64117877938178,-122.13936067397081,10.8
Drone1,47.64117495105686,-122.13935002734421,10.3
Drone1,47.64117112273036,-122.13933938071756,9.8
Drone1,47.64116691156938,-122.13932766942813,9.3
Drone1,47.641163083239576,-122.13931702280131,8.8
Drone1,47.64115925490819,-122.13930637617439,8.3
